+--------------------+-------+------+-------+-----+-----+-------+-------------------------------------------------------+
|        Name        |  ATT  | COMP |  YDS  |  TD | INT |   PR  |                          URL                          |
+--------------------+-------+------+-------+-----+-----+-------+-------------------------------------------------------+
|     Will Grier     |   52  |  28  |  228  |  0  |  4  |  33.2 |     https://www.nfl.com/players/will-grier/stats/     |
|     Jared Goff     |  2421 | 1536 | 18171 | 107 |  55 |  91.5 |     https://www.nfl.com/players/jared-goff/stats/     |
|    Jacob Eason     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/jacob-eason/stats/    |
|   Anthony Gordon   |   0   |  0   |   0   |  0  |  0  |   0   |   https://www.nfl.com/players/anthony-gordon/stats/   |
| Robert Griffin III |  1268 | 799  |  9271 |  43 |  30 |  86.5 | https://www.nfl.com/players/robert-griffin-iii/stats/ |
|    Danny Etling    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/danny-etling/stats/    |
|    Ryan Griffin    |   4   |  2   |   18  |  0  |  0  |  62.5 |    https://www.nfl.com/players/ryan-griffin/stats/    |
|    Mike Glennon    |  980  | 599  |  6235 |  43 |  25 |  83.5 |    https://www.nfl.com/players/mike-glennon/stats/    |
|     Kyle Allen     |  607  | 383  |  4198 |  23 |  17 |  84.4 |     https://www.nfl.com/players/kyle-allen/stats/     |
|  Garrett Gilbert   |   44  |  23  |  283  |  1  |  1  |  70.5 |   https://www.nfl.com/players/garrett-gilbert/stats/  |
|  Jimmy Garoppolo   |  977  | 659  |  8042 |  51 |  26 |  98.9 |   https://www.nfl.com/players/jimmy-garoppolo/stats/  |
|     Josh Allen     |  1353 | 836  |  9707 |  67 |  31 |  90.4 |    https://www.nfl.com/players/josh-allen-4/stats/    |
|   Brandon Allen    |  226  | 129  |  1440 |  8  |  6  |  76.9 |    https://www.nfl.com/players/brandon-allen/stats/   |
|   Drew Anderson    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/drew-anderson/stats/   |
|   Blaine Gabbert   |  1514 | 851  |  9206 |  50 |  47 |  72.3 |   https://www.nfl.com/players/blaine-gabbert/stats/   |
|     Jake Fromm     |   0   |  0   |   0   |  0  |  0  |   0   |     https://www.nfl.com/players/jake-fromm/stats/     |
|    Ryan Finley     |  119  |  58  |  638  |  3  |  4  |  59.4 |     https://www.nfl.com/players/ryan-finley/stats/    |
|     Nick Foles     |  2010 | 1253 | 13753 |  81 |  43 |  87.1 |     https://www.nfl.com/players/nick-foles/stats/     |
|    David Fales     |   48  |  31  |  287  |  1  |  1  |  79.1 |     https://www.nfl.com/players/david-fales/stats/    |
|    Ben DiNucci     |   43  |  23  |  219  |  0  |  0  |  67.9 |     https://www.nfl.com/players/ben-dinucci/stats/    |
|   Jake Dolegala    |   0   |  0   |   0   |  0  |  0  |   0   |    https://www.nfl.com/players/jake-dolegala/stats/   |
|    Jeff Driskel    |  345  | 202  |  2120 |  13 |  8  |  79.4 |    https://www.nfl.com/players/jeff-driskel/stats/    |
|    Joshua Dobbs    |   17  |  10  |   45  |  0  |  1  |  37.6 |    https://www.nfl.com/players/joshua-dobbs/stats/    |
